id,count,bin,image_path,json_path,density_path,split
123,90,50-99,D:\PanoCrowdCount\data\dataset\images\123.jpg,D:\PanoCrowdCount\data\dataset\json\123.json,D:\PanoCrowdCount\data\dataset\density_maps\123.npy,train
124,130,100-199,D:\PanoCrowdCount\data\dataset\images\124.jpg,D:\PanoCrowdCount\data\dataset\json\124.json,D:\PanoCrowdCount\data\dataset\density_maps\124.npy,test
125,23,0-49,D:\PanoCrowdCount\data\dataset\images\125.jpg,D:\PanoCrowdCount\data\dataset\json\125.json,D:\PanoCrowdCount\data\dataset\density_maps\125.npy,val
126,155,100-199,D:\PanoCrowdCount\data\dataset\images\126.jpg,D:\PanoCrowdCount\data\dataset\json\126.json,D:\PanoCrowdCount\data\dataset\density_maps\126.npy,test
127,460,300-499,D:\PanoCrowdCount\data\dataset\images\127.jpg,D:\PanoCrowdCount\data\dataset\json\127.json,D:\PanoCrowdCount\data\dataset\density_maps\127.npy,train
128,81,50-99,D:\PanoCrowdCount\data\dataset\images\128.jpg,D:\PanoCrowdCount\data\dataset\json\128.json,D:\PanoCrowdCount\data\dataset\density_maps\128.npy,val
129,240,200-299,D:\PanoCrowdCount\data\dataset\images\129.jpg,D:\PanoCrowdCount\data\dataset\json\129.json,D:\PanoCrowdCount\data\dataset\density_maps\129.npy,train
13,521,500+,D:\PanoCrowdCount\data\dataset\images\13.jpg,D:\PanoCrowdCount\data\dataset\json\13.json,D:\PanoCrowdCount\data\dataset\density_maps\13.npy,train
130,219,200-299,D:\PanoCrowdCount\data\dataset\images\130.jpg,D:\PanoCrowdCount\data\dataset\json\130.json,D:\PanoCrowdCount\data\dataset\density_maps\130.npy,val
131,27,0-49,D:\PanoCrowdCount\data\dataset\images\131.jpg,D:\PanoCrowdCount\data\dataset\json\131.json,D:\PanoCrowdCount\data\dataset\density_maps\131.npy,val
132,176,100-199,D:\PanoCrowdCount\data\dataset\images\132.jpg,D:\PanoCrowdCount\data\dataset\json\132.json,D:\PanoCrowdCount\data\dataset\density_maps\132.npy,train
133,83,50-99,D:\PanoCrowdCount\data\dataset\images\133.jpg,D:\PanoCrowdCount\data\dataset\json\133.json,D:\PanoCrowdCount\data\dataset\density_maps\133.npy,train
134,189,100-199,D:\PanoCrowdCount\data\dataset\images\134.jpg,D:\PanoCrowdCount\data\dataset\json\134.json,D:\PanoCrowdCount\data\dataset\density_maps\134.npy,val
135,301,300-499,D:\PanoCrowdCount\data\dataset\images\135.jpg,D:\PanoCrowdCount\data\dataset\json\135.json,D:\PanoCrowdCount\data\dataset\density_maps\135.npy,val
136,238,200-299,D:\PanoCrowdCount\data\dataset\images\136.jpg,D:\PanoCrowdCount\data\dataset\json\136.json,D:\PanoCrowdCount\data\dataset\density_maps\136.npy,train
137,349,300-499,D:\PanoCrowdCount\data\dataset\images\137.jpg,D:\PanoCrowdCount\data\dataset\json\137.json,D:\PanoCrowdCount\data\dataset\density_maps\137.npy,train
138,424,300-499,D:\PanoCrowdCount\data\dataset\images\138.jpg,D:\PanoCrowdCount\data\dataset\json\138.json,D:\PanoCrowdCount\data\dataset\density_maps\138.npy,train
139,131,100-199,D:\PanoCrowdCount\data\dataset\images\139.jpg,D:\PanoCrowdCount\data\dataset\json\139.json,D:\PanoCrowdCount\data\dataset\density_maps\139.npy,train
14,693,500+,D:\PanoCrowdCount\data\dataset\images\14.jpg,D:\PanoCrowdCount\data\dataset\json\14.json,D:\PanoCrowdCount\data\dataset\density_maps\14.npy,train
140,20,0-49,D:\PanoCrowdCount\data\dataset\images\140.jpg,D:\PanoCrowdCount\data\dataset\json\140.json,D:\PanoCrowdCount\data\dataset\density_maps\140.npy,train
141,47,0-49,D:\PanoCrowdCount\data\dataset\images\141.jpg,D:\PanoCrowdCount\data\dataset\json\141.json,D:\PanoCrowdCount\data\dataset\density_maps\141.npy,train
142,858,500+,D:\PanoCrowdCount\data\dataset\images\142.jpg,D:\PanoCrowdCount\data\dataset\json\142.json,D:\PanoCrowdCount\data\dataset\density_maps\142.npy,train
143,333,300-499,D:\PanoCrowdCount\data\dataset\images\143.jpg,D:\PanoCrowdCount\data\dataset\json\143.json,D:\PanoCrowdCount\data\dataset\density_maps\143.npy,train
144,392,300-499,D:\PanoCrowdCount\data\dataset\images\144.jpg,D:\PanoCrowdCount\data\dataset\json\144.json,D:\PanoCrowdCount\data\dataset\density_maps\144.npy,test
145,185,100-199,D:\PanoCrowdCount\data\dataset\images\145.jpg,D:\PanoCrowdCount\data\dataset\json\145.json,D:\PanoCrowdCount\data\dataset\density_maps\145.npy,train
146,84,50-99,D:\PanoCrowdCount\data\dataset\images\146.jpg,D:\PanoCrowdCount\data\dataset\json\146.json,D:\PanoCrowdCount\data\dataset\density_maps\146.npy,train
147,287,200-299,D:\PanoCrowdCount\data\dataset\images\147.jpg,D:\PanoCrowdCount\data\dataset\json\147.json,D:\PanoCrowdCount\data\dataset\density_maps\147.npy,train
148,123,100-199,D:\PanoCrowdCount\data\dataset\images\148.jpg,D:\PanoCrowdCount\data\dataset\json\148.json,D:\PanoCrowdCount\data\dataset\density_maps\148.npy,val
149,179,100-199,D:\PanoCrowdCount\data\dataset\images\149.jpg,D:\PanoCrowdCount\data\dataset\json\149.json,D:\PanoCrowdCount\data\dataset\density_maps\149.npy,test
15,80,50-99,D:\PanoCrowdCount\data\dataset\images\15.jpg,D:\PanoCrowdCount\data\dataset\json\15.json,D:\PanoCrowdCount\data\dataset\density_maps\15.npy,train
150,183,100-199,D:\PanoCrowdCount\data\dataset\images\150.jpg,D:\PanoCrowdCount\data\dataset\json\150.json,D:\PanoCrowdCount\data\dataset\density_maps\150.npy,train
151,38,0-49,D:\PanoCrowdCount\data\dataset\images\151.jpg,D:\PanoCrowdCount\data\dataset\json\151.json,D:\PanoCrowdCount\data\dataset\density_maps\151.npy,val
152,101,100-199,D:\PanoCrowdCount\data\dataset\images\152.jpg,D:\PanoCrowdCount\data\dataset\json\152.json,D:\PanoCrowdCount\data\dataset\density_maps\152.npy,val
153,53,50-99,D:\PanoCrowdCount\data\dataset\images\153.jpg,D:\PanoCrowdCount\data\dataset\json\153.json,D:\PanoCrowdCount\data\dataset\density_maps\153.npy,train
154,234,200-299,D:\PanoCrowdCount\data\dataset\images\154.jpg,D:\PanoCrowdCount\data\dataset\json\154.json,D:\PanoCrowdCount\data\dataset\density_maps\154.npy,val
155,69,50-99,D:\PanoCrowdCount\data\dataset\images\155.jpg,D:\PanoCrowdCount\data\dataset\json\155.json,D:\PanoCrowdCount\data\dataset\density_maps\155.npy,train
156,92,50-99,D:\PanoCrowdCount\data\dataset\images\156.jpg,D:\PanoCrowdCount\data\dataset\json\156.json,D:\PanoCrowdCount\data\dataset\density_maps\156.npy,val
157,260,200-299,D:\PanoCrowdCount\data\dataset\images\157.jpg,D:\PanoCrowdCount\data\dataset\json\157.json,D:\PanoCrowdCount\data\dataset\density_maps\157.npy,test
158,10,0-49,D:\PanoCrowdCount\data\dataset\images\158.jpg,D:\PanoCrowdCount\data\dataset\json\158.json,D:\PanoCrowdCount\data\dataset\density_maps\158.npy,train
159,293,200-299,D:\PanoCrowdCount\data\dataset\images\159.jpg,D:\PanoCrowdCount\data\dataset\json\159.json,D:\PanoCrowdCount\data\dataset\density_maps\159.npy,train
16,71,50-99,D:\PanoCrowdCount\data\dataset\images\16.jpg,D:\PanoCrowdCount\data\dataset\json\16.json,D:\PanoCrowdCount\data\dataset\density_maps\16.npy,val
160,125,100-199,D:\PanoCrowdCount\data\dataset\images\160.jpg,D:\PanoCrowdCount\data\dataset\json\160.json,D:\PanoCrowdCount\data\dataset\density_maps\160.npy,train
161,49,0-49,D:\PanoCrowdCount\data\dataset\images\161.jpg,D:\PanoCrowdCount\data\dataset\json\161.json,D:\PanoCrowdCount\data\dataset\density_maps\161.npy,train
162,467,300-499,D:\PanoCrowdCount\data\dataset\images\162.jpg,D:\PanoCrowdCount\data\dataset\json\162.json,D:\PanoCrowdCount\data\dataset\density_maps\162.npy,train
163,171,100-199,D:\PanoCrowdCount\data\dataset\images\163.jpg,D:\PanoCrowdCount\data\dataset\json\163.json,D:\PanoCrowdCount\data\dataset\density_maps\163.npy,train
164,48,0-49,D:\PanoCrowdCount\data\dataset\images\164.jpg,D:\PanoCrowdCount\data\dataset\json\164.json,D:\PanoCrowdCount\data\dataset\density_maps\164.npy,val
165,75,50-99,D:\PanoCrowdCount\data\dataset\images\165.jpg,D:\PanoCrowdCount\data\dataset\json\165.json,D:\PanoCrowdCount\data\dataset\density_maps\165.npy,train
166,61,50-99,D:\PanoCrowdCount\data\dataset\images\166.jpg,D:\PanoCrowdCount\data\dataset\json\166.json,D:\PanoCrowdCount\data\dataset\density_maps\166.npy,val
167,324,300-499,D:\PanoCrowdCount\data\dataset\images\167.jpg,D:\PanoCrowdCount\data\dataset\json\167.json,D:\PanoCrowdCount\data\dataset\density_maps\167.npy,test
168,14,0-49,D:\PanoCrowdCount\data\dataset\images\168.jpg,D:\PanoCrowdCount\data\dataset\json\168.json,D:\PanoCrowdCount\data\dataset\density_maps\168.npy,val
169,188,100-199,D:\PanoCrowdCount\data\dataset\images\169.jpg,D:\PanoCrowdCount\data\dataset\json\169.json,D:\PanoCrowdCount\data\dataset\density_maps\169.npy,val
17,85,50-99,D:\PanoCrowdCount\data\dataset\images\17.jpg,D:\PanoCrowdCount\data\dataset\json\17.json,D:\PanoCrowdCount\data\dataset\density_maps\17.npy,train
170,120,100-199,D:\PanoCrowdCount\data\dataset\images\170.jpg,D:\PanoCrowdCount\data\dataset\json\170.json,D:\PanoCrowdCount\data\dataset\density_maps\170.npy,train
171,116,100-199,D:\PanoCrowdCount\data\dataset\images\171.jpg,D:\PanoCrowdCount\data\dataset\json\171.json,D:\PanoCrowdCount\data\dataset\density_maps\171.npy,val
172,363,300-499,D:\PanoCrowdCount\data\dataset\images\172.jpg,D:\PanoCrowdCount\data\dataset\json\172.json,D:\PanoCrowdCount\data\dataset\density_maps\172.npy,test
173,85,50-99,D:\PanoCrowdCount\data\dataset\images\173.jpg,D:\PanoCrowdCount\data\dataset\json\173.json,D:\PanoCrowdCount\data\dataset\density_maps\173.npy,val
174,19,0-49,D:\PanoCrowdCount\data\dataset\images\174.jpg,D:\PanoCrowdCount\data\dataset\json\174.json,D:\PanoCrowdCount\data\dataset\density_maps\174.npy,train
175,131,100-199,D:\PanoCrowdCount\data\dataset\images\175.jpg,D:\PanoCrowdCount\data\dataset\json\175.json,D:\PanoCrowdCount\data\dataset\density_maps\175.npy,train
176,464,300-499,D:\PanoCrowdCount\data\dataset\images\176.jpg,D:\PanoCrowdCount\data\dataset\json\176.json,D:\PanoCrowdCount\data\dataset\density_maps\176.npy,val
177,128,100-199,D:\PanoCrowdCount\data\dataset\images\177.jpg,D:\PanoCrowdCount\data\dataset\json\177.json,D:\PanoCrowdCount\data\dataset\density_maps\177.npy,test
178,90,50-99,D:\PanoCrowdCount\data\dataset\images\178.jpg,D:\PanoCrowdCount\data\dataset\json\178.json,D:\PanoCrowdCount\data\dataset\density_maps\178.npy,train
179,23,0-49,D:\PanoCrowdCount\data\dataset\images\179.jpg,D:\PanoCrowdCount\data\dataset\json\179.json,D:\PanoCrowdCount\data\dataset\density_maps\179.npy,train
18,99,50-99,D:\PanoCrowdCount\data\dataset\images\18.jpg,D:\PanoCrowdCount\data\dataset\json\18.json,D:\PanoCrowdCount\data\dataset\density_maps\18.npy,train
180,307,300-499,D:\PanoCrowdCount\data\dataset\images\180.jpg,D:\PanoCrowdCount\data\dataset\json\180.json,D:\PanoCrowdCount\data\dataset\density_maps\180.npy,train
181,8,0-49,D:\PanoCrowdCount\data\dataset\images\181.jpg,D:\PanoCrowdCount\data\dataset\json\181.json,D:\PanoCrowdCount\data\dataset\density_maps\181.npy,train
182,684,500+,D:\PanoCrowdCount\data\dataset\images\182.jpg,D:\PanoCrowdCount\data\dataset\json\182.json,D:\PanoCrowdCount\data\dataset\density_maps\182.npy,val
183,93,50-99,D:\PanoCrowdCount\data\dataset\images\183.jpg,D:\PanoCrowdCount\data\dataset\json\183.json,D:\PanoCrowdCount\data\dataset\density_maps\183.npy,train
184,54,50-99,D:\PanoCrowdCount\data\dataset\images\184.jpg,D:\PanoCrowdCount\data\dataset\json\184.json,D:\PanoCrowdCount\data\dataset\density_maps\184.npy,test
185,252,200-299,D:\PanoCrowdCount\data\dataset\images\185.jpg,D:\PanoCrowdCount\data\dataset\json\185.json,D:\PanoCrowdCount\data\dataset\density_maps\185.npy,train
186,71,50-99,D:\PanoCrowdCount\data\dataset\images\186.jpg,D:\PanoCrowdCount\data\dataset\json\186.json,D:\PanoCrowdCount\data\dataset\density_maps\186.npy,val
187,21,0-49,D:\PanoCrowdCount\data\dataset\images\187.jpg,D:\PanoCrowdCount\data\dataset\json\187.json,D:\PanoCrowdCount\data\dataset\density_maps\187.npy,train
188,162,100-199,D:\PanoCrowdCount\data\dataset\images\188.jpg,D:\PanoCrowdCount\data\dataset\json\188.json,D:\PanoCrowdCount\data\dataset\density_maps\188.npy,test
189,143,100-199,D:\PanoCrowdCount\data\dataset\images\189.jpg,D:\PanoCrowdCount\data\dataset\json\189.json,D:\PanoCrowdCount\data\dataset\density_maps\189.npy,val
19,11,0-49,D:\PanoCrowdCount\data\dataset\images\19.jpg,D:\PanoCrowdCount\data\dataset\json\19.json,D:\PanoCrowdCount\data\dataset\density_maps\19.npy,train
190,273,200-299,D:\PanoCrowdCount\data\dataset\images\190.jpg,D:\PanoCrowdCount\data\dataset\json\190.json,D:\PanoCrowdCount\data\dataset\density_maps\190.npy,val
191,187,100-199,D:\PanoCrowdCount\data\dataset\images\191.jpg,D:\PanoCrowdCount\data\dataset\json\191.json,D:\PanoCrowdCount\data\dataset\density_maps\191.npy,train
192,63,50-99,D:\PanoCrowdCount\data\dataset\images\192.jpg,D:\PanoCrowdCount\data\dataset\json\192.json,D:\PanoCrowdCount\data\dataset\density_maps\192.npy,train
193,15,0-49,D:\PanoCrowdCount\data\dataset\images\193.jpg,D:\PanoCrowdCount\data\dataset\json\193.json,D:\PanoCrowdCount\data\dataset\density_maps\193.npy,train
194,207,200-299,D:\PanoCrowdCount\data\dataset\images\194.jpg,D:\PanoCrowdCount\data\dataset\json\194.json,D:\PanoCrowdCount\data\dataset\density_maps\194.npy,test
